Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","131","Malaysia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","14279446","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","133","Mali","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","363500","F","FAO estimate"
"QL","Livestock Primary","134","Malta","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","85992","","Official data"
"QL","Livestock Primary","135","Martinique","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","45095","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","136","Mauritania","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","153076","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","137","Mauritius","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","232727","","Official data"
"QL","Livestock Primary","138","Mexico","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","57438360","*","Unofficial figure"
"QL","Livestock Primary","145","Micronesia (Federated States of)","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","3900","F","FAO estimate"
"QL","Livestock Primary","141","Mongolia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","151914","","Official data"
"QL","Livestock Primary","273","Montenegro","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","101000","F","FAO estimate"
"QL","Livestock Primary","142","Montserrat","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1426","F","FAO estimate"
"QL","Livestock Primary","143","Morocco","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","7450000","*","Unofficial figure"
"QL","Livestock Primary","144","Mozambique","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1086957","F","FAO estimate"
"QL","Livestock Primary","28","Myanmar","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","12000000","F","FAO estimate"
"QL","Livestock Primary","147","Namibia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","66479","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","148","Nauru","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","500","F","FAO estimate"
"QL","Livestock Primary","149","Nepal","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1498024","","Official data"
"QL","Livestock Primary","150","Netherlands","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","11943375","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","151","Netherlands Antilles (former)","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","10582","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","153","New Caledonia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","39437","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","156","New Zealand","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1105793","","Official data"
"QL","Livestock Primary","157","Nicaragua","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","615128","","Official data"
"QL","Livestock Primary","158","Niger","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","303421","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","159","Nigeria","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","12035917","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","160","Niue","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","389","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","154","North Macedonia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","181783","","Official data"
"QL","Livestock Primary","162","Norway","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1173983","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","221","Oman","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","404940","","Official data"
"QL","Livestock Primary","165","Pakistan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","18037000","","Official data"
"QL","Livestock Primary","299","Palestine","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","417000","F","FAO estimate"
"QL","Livestock Primary","166","Panama","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","683391","","Official data"
"QL","Livestock Primary","168","Papua New Guinea","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","122000","F","FAO estimate"
"QL","Livestock Primary","169","Paraguay","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1828422","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","170","Peru","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","9044680","*","Unofficial figure"
"QL","Livestock Primary","171","Philippines","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","10670000","*","Unofficial figure"
"QL","Livestock Primary","173","Poland","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","11814269","","Official data"
"QL","Livestock Primary","174","Portugal","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2163000","*","Unofficial figure"
